date,timepoint,depth_ft,group,tag_color,tag_no,id,ella_physio_id,full_id,id_time,frag_sym,photo,sample_id,who_sampled,depth,depth_sa
11/9/24,24-Nov,15,new apo,blue,10,A10-A,A10-A,A10-A-1124,A10-A 11/24,A,y,A10-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,10,A10-S,A10-S,A10-S-1124,A10-S 11/24,S,y,A10-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,11,A11-A,A19-A,A11-A-new_1124,A11-A 11/24,A,y,AX5-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,11,A11-A,A11-A,A11-A-old-1124,A11-A 11/24,A,y,A11-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,11,A11-S,A19-S,A11-S-new_1124,A11-S 11/24,S,y,AX5-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new apo,blue,11,A11-S,A11-S,A11-S-old_1124,A11-S 11/24,S,y,A11-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new apo,blue,12,A12-A,A12-A,A12-A-1124,A12-A 11/24,A,y,AX2-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,12,A12-S,A12-S,A12-S-1124,A12-S 11/24,S,y,AX2-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,13,A13-A,A13-A,A13-A-1124,A13-A 11/24,A,y,A13-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,13,A13-S,A13-S,A13-S-1124,A13-S 11/24,S,y,A13-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new apo,blue,14,A14-A,A14-A,A14-A-1124,A14-A 11/24,A,y,AX7-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,14,A14-A,A21-A,A14-A-new_1124,A14-A 11/24,A,y,SX7-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,14,A14-S,A14-S,A14-S-1124,A14-S 11/24,S,y,AX7-S,MP CL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,14,A14-S,A21-S,A14-S-new_1124,A14-S 11/24,S,y,SX7-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,15,A15-A,A15-A,A15-A-1124,A15-A 11/24,A,y,A15-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,15,A15-S,A15-S,A15-S-1124,A15-S 11/24,S,y,A15-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new apo,blue,18,A18-A,A18-A,A18-A-1124,A18-A 11/24,A,y,AX3-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,18,A18-S,A18-S,A18-S-1124,A18-S 11/24,S,y,AX3-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,24,A24-A,A24-A,A24-A-1124,A24-A 11/24,A,y,A24-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,24,A24-S,A24-S,A24-S-1124,A24-S 11/24,S,y,A24-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,25,A25-A,A25-A,A25-A-1124,A25-A 11/24,A,y,A25-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,25,A25-S,A25-S,A25-S-1124,A25-S 11/24,S,y,A25-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,5,A5-A,A5-A,A5-A-1124,A5-A 11/24,A,y,A5-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,5,A5-S,A5-S,A5-S-1124,A5-S 11/24,S,y,A5-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,8,A8-A,A8-A,A8-A-1124,A8-A 11/24,A,y,A8-A,MP CD,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,8,A8-S,A8-S,A8-S-1124,A8-S 11/24,S,y,A8-S,MP CD,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new apo,blue,9,A9-A,A9-A,A9-A-1124,A9-A 11/24,A,y,A9-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,9,A9-S,A9-S,A9-S-1124,A9-S 11/24,S,y,A9-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,30,deep apo,none,1,D1-A,D1,D1-1124,D1-A 11/24,A,y,D1-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,10,D10-A,D10,D10-1124,D10-A 11/24,A,y,D10-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,11,D11-A,D11,D11-1124,D11-A 11/24,A,y,D11-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,12,D12-A,D12,D12-1124,D12-A 11/24,A,y,D12-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,13,D13-A,D13,D13-1124,D13-A 11/24,A,y,D13-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,14,D14-A,D14,D14-1124,D14-A 11/24,A,y,D14-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,15,D15-A,D15,D15-1124,D15-A 11/24,A,y,D15-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,2,D2-A,D2,D2-1124,D2-A 11/24,A,y,D2-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,3,D3-A,D3,D3-1124,D3-A 11/24,A,y,D3-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,4,D4-A,D4,D4-1124,D4-A 11/24,A,y,D4-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,5,D5-A,D5,D5-1124,D5-A 11/24,A,y,D5-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,6,D6-A,D6,D6-1124,D6-A 11/24,A,y,D6-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,7,D7-A,D7,D7-1124,D7-A 11/24,A,y,D7-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,8,D8-A,D8,D8-1124,D8-A 11/24,A,y,D8-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,30,deep apo,none,9,D9-A,D9,D9-1124,D9-A 11/24,A,y,D9-A,MP CD,Deep,Deep Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,13,A13-A,NA,NA,A13-A 11/24,A,y,AX1-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new apo,blue,13,A13-S,NA,NA,A13-S 11/24,S,y,AX1-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old apo,yellow,15 duplicate,A15-A duplicate,NA,NA,A15-A 11/24 duplicate,A,y,AX4-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old apo,yellow,15 duplicate,A15-S duplicate,NA,NA,A15-S 11/24 duplicate,S,y,AX4-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,1 duplicate,S1-A duplicate,NA,NA,S1-A 11/24 duplicate,A,y,SX1-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,1 duplicate,S1-S duplicate,NA,NA,S1-S 11/24 duplicate,S,y,SX1-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,15 duplicate,S15-A duplicate,NA,NA,S15-A 11/24 duplicate,A,y,SX2-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,15 duplicate,S15-S duplicate,NA,NA,S15-S 11/24 duplicate,S,y,SX2-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,1,S1-A,S1-A,S1-A-1124,S1-A 11/24,A,y,S1-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,1,S1-S,S1-S,S1-S-1124,S1-S 11/24,S,y,S1-S,MP CL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,10,S10-A,S10-A,S10-A-1124,S10-A 11/24,A,y,S10-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,10,S10-S,S10-S,S10-S-1124,S10-S 11/24,S,y,S10-S,MP CL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,11,S11-A,S27-A,S11-A-new_1124,S11-A 11/24,A,y,SX8-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new sym,green ,11,S11-A,S11-A,S11-A-old-1124,S11-A 11/24,A,y,S11-A,EJ SL,Shallow,Shallow Aposymbiotic
