sample_id,frag_id,colony_id,a_s_colony,a_s_frag,algae_host,depth_sa,weight_mg,total_N_ug,pct_N,d15N_algae,total_C_ug,pct_C,d13C_algae
A18-A-1124-Algae,A18-A,A18,A,A,Algae,Shallow Aposymbiotic,2.31,108.2,9.29,8.84,103.8,45.74,-21.28
A10-A-1124-Algae,A10-A,A10,A,A,Algae,Shallow Aposymbiotic,0.47,9.8,4.04,8.75,10.1,21.94,-22
A11-A-new-1124-Algae,A11-A-new,A11-new,A,A,Algae,Shallow Aposymbiotic,2.54,56.5,4.32,9.33,56.8,22.51,-21.7
A11-A-old-1124-Algae,A11-A-old,A11-old,A,A,Algae,Shallow Aposymbiotic,3.48,150,8.55,8.31,149.2,43.64,-21.17
A12-A-1124-Algae,A12-A,A12,A,A,Algae,Shallow Aposymbiotic,1.92,51.7,5.24,10.35,49.6,26.02,-21.43
A13-A-old-1124-Algae,A13-A-old,A13-old,A,A,Algae,Shallow Aposymbiotic,1.98,40.1,3.92,9.44,41.6,21.12,-21.77
A14-A-new-1124-Algae,A14-A-new,A14-new,A,A,Algae,Shallow Aposymbiotic,1.56,45.1,5.63,7.84,46.7,30.23,-22.06
A14-A-old-1124-Algae,A14-A-old,A14-old,A,A,Algae,Shallow Aposymbiotic,2.19,64.9,5.67,11.54,67.7,30.79,-21.75
A15-A-1124-Algae,A15-A,A15,A,A,Algae,Shallow Aposymbiotic,2.27,55.2,4.66,7.26,60.7,26.72,-22.13
A24-A-1124-Algae,A24-A,A24,A,A,Algae,Shallow Aposymbiotic,2.29,66,5.52,8.76,60.4,26.28,-21.31
A25-A-1124-Algae,A25-A,A25,A,A,Algae,Shallow Aposymbiotic,1.89,55.3,5.67,9.83,53.1,28.3,-21.02
A5-A-1124-Algae,A5-A,A5,A,A,Algae,Shallow Aposymbiotic,1.01,25.4,4.88,9.32,24.7,24.61,-21.95
A8-A-1124-Algae,A8-A,A8,A,A,Algae,Shallow Aposymbiotic,1.96,57.5,5.7,9.74,58.8,30.23,-21.53
A9-A-1124-Algae,A9-A,A9,A,A,Algae,Shallow Aposymbiotic,1.33,29.5,4.31,8.37,37.3,28.26,-23.45
D1-1124-Algae,D1,D1,A,A,Algae,Deep Aposymbiotic,1.4,55.9,7.72,9.66,52.3,38.13,-21.71
D10-1124-Algae,D10,D10,A,A,Algae,Deep Aposymbiotic,1.6,69.9,8.5,9.36,66.8,42.81,-21.71
D11-1124-Algae,D11,D11,A,A,Algae,Deep Aposymbiotic,2.15,67.7,6.1,9.33,66.7,31.75,-21.62
D12-1124-Algae,D12,D12,A,A,Algae,Deep Aposymbiotic,1.94,74.2,7.46,9.31,72.3,38.2,-21.59
