sample_id,frag_id,colony_id,a_s_colony,a_s_frag,algae_host,depth_sa,weight_mg,total_N_ug,pct_N,d15N_host,total_C_ug,pct_C,d13C_host
A18-A-1124-Host,A18-A,A18,A,A,Host,Shallow Aposymbiotic,6.72,147.7,4.29,9.16,114.4,17.25,-20.79
A10-A-1124-Host,A10-A,A10,A,A,Host,Shallow Aposymbiotic,3.62,89.5,4.75,9.43,68.3,18.86,-20.45
A11-A-new-1124-Host,A11-A-new,A11-new,A,A,Host,Shallow Aposymbiotic,5.17,110.1,4.22,9.12,85.2,16.77,-20.67
A11-A-old-1124-Host,A11-A-old,A11-old,A,A,Host,Shallow Aposymbiotic,5.02,126.9,5.01,8.91,104.3,21.16,-20.81
A12-A-1124-Host,A12-A,A12,A,A,Host,Shallow Aposymbiotic,7.32,189.6,5.15,8.78,152.3,21.22,-21.04
A13-A-old-1124-Host,A13-A-old,A13-old,A,A,Host,Shallow Aposymbiotic,4.65,218.7,9.33,9.16,187.2,41.06,-20.64
A14-A-new-1124-Host,A14-A-new,A14-new,A,A,Host,Shallow Aposymbiotic,5.93,186.3,6.04,8.94,142.4,24.07,-20.72
A14-A-old-1124-Host,A14-A-old,A14-old,A,A,Host,Shallow Aposymbiotic,7.4,175.9,4.65,9.46,127.1,17.39,-20.3
A15-A-1124-Host,A15-A,A15,A,A,Host,Shallow Aposymbiotic,5.98,144.9,4.74,8.99,109.3,18.46,-20.35
A24-A-1124-Host,A24-A,A24,A,A,Host,Shallow Aposymbiotic,7.82,204.5,5.03,8.48,160.9,20.62,-20.56
A25-A-1124-Host,A25-A,A25,A,A,Host,Shallow Aposymbiotic,4.76,141.2,5.88,9.24,105.3,22.59,-20.1
A5-A-1124-Host,A5-A,A5,A,A,Host,Shallow Aposymbiotic,7.58,215.3,5.45,8.98,162.2,21.39,-20.49
A8-A-1124-Host,A8-A,A8,A,A,Host,Shallow Aposymbiotic,5.79,113.3,3.83,9.21,87.4,15.29,-20.77
A9-A-1124-Host,A9-A,A9,A,A,Host,Shallow Aposymbiotic,4.62,126.5,5.26,9.13,91.3,19.77,-20.61
D1-1124-Host,D1,D1,A,A,Host,Deep Aposymbiotic,4.11,119.7,5.65,9.66,91.4,22.77,-20.89
D10-1124-Host,D10,D10,A,A,Host,Deep Aposymbiotic,2.71,92.2,6.61,9.11,69.3,26.18,-20.99
D11-1124-Host,D11,D11,A,A,Host,Deep Aposymbiotic,6.19,146.8,4.62,9.44,109.1,18.03,-20.98
