frag_ID,host_sym,total_weight_mg,tube_weight_mg,sample_weight_mg,pan_ID,pan_weight_mg,dry_pan_mg,dry_weight_mg,date_time_in_furnace,date_time_furnace_off,ash_pan_mg,ash_weight_mg,total_afdw_mg,afdw_mg_cm2
A5-A,host,13394.49,13290.05,104.44,1,1066.3,1078.27,11.97,9/5/25 12:30,9/5/25 17:30,1070.51,7.76,,
A8-S,host,13470.08,13290.05,180.03,,,0,0,,,,0,,
A9-A,host,13493.99,13290.05,203.94,3,1059.15,1071.92,12.77,9/5/25 12:30,9/5/25 17:30,1064.78,7.14,,
A10-A,host,13423.38,13290.05,133.33,4,1048.89,1060.72,11.83,9/5/25 12:30,9/5/25 17:30,1053.93,6.79,,
A24-A,host,13420.88,13290.05,130.83,18,1030.31,1042.52,12.21,,,,,,
A24-S,host,13385.74,13290.05,95.69,13,1025.21,1040.4,15.19,,,,,,
A5-S,host,13341.03,13290.05,50.98,20,1065.21,1075.46,10.25,,,,,,
A14-A-new,host,13388.02,13290.05,97.97,11,1058.56,1068.82,10.26,,,,,,
A18-S,host,13441.22,13290.05,151.17,21,1032.95,1044.11,11.16,,,,,,
A15-S,host,13378.53,13290.05,88.48,15,1059.01,1072.49,13.48,,,,,,
S18-S,host,13319.15,13290.05,29.1,19,1039.42,1053.28,13.86,,,,,,
S7-S,host,13488.68,13290.05,198.63,6,1058.6,1076.37,17.77,,,,,,
S19-A,host,13382.95,13290.05,92.9,12,1053.94,1064.24,10.3,,,,,,
S18-A,host,13366.66,13290.05,76.61,8,1040.22,1057.36,17.14,,,,,,
S19-S,host,13363.28,13290.05,73.23,10,1047.1,1062.77,15.67,,,,,,
S26-S,host,13412.14,13290.05,122.09,14,1054.95,1068.73,13.78,,,,,,
S1-S,host,13440.55,13290.05,150.5,9,1053.33,1070.69,17.36,,,,,,
S16-A,host,13331.39,13290.05,41.34,17,1055.38,1066.5,11.12,,,,,,
S16-S,host,13359.2,13290.05,69.15,4,1033.25,1046.1,12.85,,,,,,
S9-A,host,13377.66,13290.05,87.61,,1059.27,,,,,,,,
S6-A,host,13389.96,13290.05,99.91,,1052.27,,,,,,,,
S11-A-old,host,13379.29,13290.05,89.24,,1056.7,,,,,,,,
