sample_ID,full_ID,sample_id,sa_colony,sa_frag,month,year,timepoint,sa_cm2,resuspension_vol,depth,depth_sa
A10-A,A10-A-1124,A10-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.11492,10,Shallow,Shallow Aposymbiotic
A10-S,A10-S-1124,A10-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,16.28444,10,Shallow,Shallow Symbiotic
A19-A,A11-A-new_1124,AX5-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,12.03014,10,Shallow,Shallow Aposymbiotic
A11-A,A11-A-old-1124,A11-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,8.24691,10,Shallow,Shallow Aposymbiotic
A19-S,A11-S-new_1124,AX5-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,19.53792,10,Shallow,Shallow Symbiotic
A11-S,A11-S-old_1124,A11-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,13.49225,10,Shallow,Shallow Symbiotic
A12-A,A12-A-1124,AX2-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,NA,12,Shallow,Shallow Aposymbiotic
A12-S,A12-S-1124,AX2-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,NA,10,Shallow,Shallow Symbiotic
A13-A,A13-A-1124,A13-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,11.22818,10,Shallow,Shallow Aposymbiotic
A13-S,A13-S-1124,A13-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,17.86554,12.5,Shallow,Shallow Symbiotic
A14-A,A14-A-1124,AX7-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,14.03178,10,Shallow,Shallow Aposymbiotic
A21-A,A14-A-new_1124,SX7-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,7.19719,10,Shallow,Shallow Aposymbiotic
A14-S,A14-S-1124,AX7-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,18.21436,11,Shallow,Shallow Symbiotic
A21-S,A14-S-new_1124,SX7-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,12.18825,10,Shallow,Shallow Symbiotic
A15-A,A15-A-1124,A15-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,24.44096,10,Shallow,Shallow Aposymbiotic
A15-S,A15-S-1124,A15-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,14.22086,10,Shallow,Shallow Symbiotic
A18-A,A18-A-1124,AX3-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,22.74087,10,Shallow,Shallow Aposymbiotic
A18-S,A18-S-1124,AX3-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,36.90068,11,Shallow,Shallow Symbiotic
A24-A,A24-A-1124,A24-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.40669,10,Shallow,Shallow Aposymbiotic
A24-S,A24-S-1124,A24-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,26.53388,10,Shallow,Shallow Symbiotic
A25-A,A25-A-1124,A25-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,11.64383,13,Shallow,Shallow Aposymbiotic
A25-S,A25-S-1124,A25-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,7.88179,13,Shallow,Shallow Symbiotic
A5-A,A5-A-1124,A5-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,8.66745,10.5,Shallow,Shallow Aposymbiotic
A5-S,A5-S-1124,A5-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,14.20293,10,Shallow,Shallow Symbiotic
A8-A,A8-A-1124,A8-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,9.22491,9.5,Shallow,Shallow Aposymbiotic
A8-S,A8-S-1124,A8-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,14.05949,10,Shallow,Shallow Symbiotic
A9-A,A9-A-1124,A9-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,7.70738,13,Shallow,Shallow Aposymbiotic
A9-S,A9-S-1124,A9-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,9.82964,13,Shallow,Shallow Symbiotic
D1,D1-1124,D1-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,21.023444,12.5,Deep,Deep Aposymbiotic
D10,D10-1124,D10-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,13.038914,10,Deep,Deep Aposymbiotic
D11,D11-1124,D11-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,19.473704,10,Deep,Deep Aposymbiotic
D12,D12-1124,D12-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.25294,10,Deep,Deep Aposymbiotic
D13,D13-1124,D13-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,6.985944,10,Deep,Deep Aposymbiotic
D14,D14-1124,D14-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,23.348054,12.5,Deep,Deep Aposymbiotic
D15,D15-1124,D15-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,9.993338,10,Deep,Deep Aposymbiotic
D2,D2-1124,D2-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,19.34119,10,Deep,Deep Aposymbiotic
D3,D3-1124,D3-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,13.780094,11,Deep,Deep Aposymbiotic
D4,D4-1124,D4-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,14.435926,10,Deep,Deep Aposymbiotic
D5,D5-1124,D5-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,16.850376,11,Deep,Deep Aposymbiotic
D6,D6-1124,D6-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,15.922778,10,Deep,Deep Aposymbiotic
D7,D7-1124,D7-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,4.870212,10,Deep,Deep Aposymbiotic
D8,D8-1124,D8-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,14.26523,11,Deep,Deep Aposymbiotic
D9,D9-1124,D9-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,18.197976,10,Deep,Deep Aposymbiotic
S1-A,S1-A-1124,S1-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,11.59656,10,Shallow,Shallow Aposymbiotic
S1-S,S1-S-1124,S1-S,Symbiotic,Symbiotic,November,2024,Nov_24,21.21682,10,Shallow,Shallow Symbiotic
S10-A,S10-A-1124,S10-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.99427,10,Shallow,Shallow Aposymbiotic
S10-S,S10-S-1124,S10-S,Symbiotic,Symbiotic,November,2024,Nov_24,45.38483,10,Shallow,Shallow Symbiotic
S27-A,S11-A-new_1124,SX8-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.14504,10,Shallow,Shallow Aposymbiotic
S11-A,S11-A-old-1124,S11-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,11.45964,10,Shallow,Shallow Aposymbiotic
S27-S,S11-S-new_1124,SX8-S,Symbiotic,Symbiotic,November,2024,Nov_24,9.40258,10,Shallow,Shallow Symbiotic
S11-S,S11-S-old-1124,S11-S,Symbiotic,Symbiotic,November,2024,Nov_24,17.03424,10.5,Shallow,Shallow Symbiotic
S12-A,S12-A-1124,A12-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,27.34236,10,Shallow,Shallow Aposymbiotic
S12-S,S12-S-1124,A12-S,Symbiotic,Symbiotic,November,2024,Nov_24,41.96672,10,Shallow,Shallow Symbiotic
S15-A,S15-A-1124,S15-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,11.98287,11.5,Shallow,Shallow Aposymbiotic
S15-S,S15-S-1124,S15-S,Symbiotic,Symbiotic,November,2024,Nov_24,4.83369,10,Shallow,Shallow Symbiotic
S16-A,S16-A-1124,S16-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,15.70416,10,Shallow,Shallow Aposymbiotic
S16-S,S16-S-1124,S16-S,Symbiotic,Symbiotic,November,2024,Nov_24,13.46291,10,Shallow,Shallow Symbiotic
S17-A,S17-A-1124,S17-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.74162,10,Shallow,Shallow Aposymbiotic
S17-S,S17-S-1124,S17-S,Symbiotic,Symbiotic,November,2024,Nov_24,11.18254,10,Shallow,Shallow Symbiotic
S18-A,S18-A-1124,S18-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,30.23887,10,Shallow,Shallow Aposymbiotic
S18-S,S18-S-1124,S18-S,Symbiotic,Symbiotic,November,2024,Nov_24,16.55176,10,Shallow,Shallow Symbiotic
S19-A,S19-A-1124,S19-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,12.84025,10,Shallow,Shallow Aposymbiotic
S19-S,S19-S-1124,S19-S,Symbiotic,Symbiotic,November,2024,Nov_24,28.94791,10,Shallow,Shallow Symbiotic
S21-A,S21-A-1124,S21-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,23.17934,12.5,Shallow,Shallow Aposymbiotic
S21-S,S21-S-1124,S21-S,Symbiotic,Symbiotic,November,2024,Nov_24,25.44993,11,Shallow,Shallow Symbiotic
S22-A,S22-A-1124,S22-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,18.7816,11.5,Shallow,Shallow Aposymbiotic
S22-S,S22-S-1124,S22-S,Symbiotic,Symbiotic,November,2024,Nov_24,31.11744,10,Shallow,Shallow Symbiotic
S26-A,S26-A-1124,SX5-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,9.81497,10,Shallow,Shallow Aposymbiotic
S26-S,S26-S-1124,SX5-S,Symbiotic,Symbiotic,November,2024,Nov_24,16.6137,10,Shallow,Shallow Symbiotic
S6-A,S6-A-1124,SX6-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,7.96818,10,Shallow,Shallow Aposymbiotic
S6-S,S6-S-1124,SX6-S,Symbiotic,Symbiotic,November,2024,Nov_24,15.05868,10,Shallow,Shallow Symbiotic
S7-A,S7-A-1124,S7-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,27.43364,10,Shallow,Shallow Aposymbiotic
S7-S,S7-S-1124,S7-S,Symbiotic,Symbiotic,November,2024,Nov_24,25.82809,10,Shallow,Shallow Symbiotic
S9-A,S9-A-1124,S9-A,Symbiotic,Aposymbiotic,November,2024,Nov_24,13.33414,10,Shallow,Shallow Aposymbiotic
S9-S,S9-S-1124,S9-S,Symbiotic,Symbiotic,November,2024,Nov_24,20.47354,10,Shallow,Shallow Symbiotic
