sample_ID,Ro,Ra,vol_acetone_mL,vol_coral_extract_mL,ug_chla_L,ug_chla_total,ug_chla_cm,tin_weight_mg,count1,count2,count3,count4,count5,full_ID,sample_id,sa_colony,sa_frag,month,year,timepoint,sa_cm2,resuspension_vol,depth,depth_sa,avg_count,sym_mL,sym_total,sym_total_avg,sym_cm2,sym_cm2_avg,chla_pg_sym,chla_pg_sym_avg
A5-A,90.3,45.7,6,5,42.49488,0.44619624,0.051479529,56.15,12,47,33,29,16,A5-A-1124,A5-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,8.66745,10.5,Shallow,Shallow Aposymbiotic,27.4,274000,2877000,2877000,331931.537,412393.7942,0.155090803,1.813002544
A5-S,482,227,6,0.5,2429.64,24.2964,1.71066111,90.11,56,101,49,83,61,A5-S-1124,A5-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,14.20293,10,Shallow,Shallow Symbiotic,70,7e+05,7e+06,,492856.0515,,3.470914286,
A13-A,40.5,22.3,6,5,17.34096,0.1734096,0.015444141,71.86,21,67,18,59,29,A13-A-1124,A13-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,11.22818,10,Shallow,Shallow Aposymbiotic,38.8,388000,3880000,7577500,345559.12,488331.175,0.044693196,0.112133738
A13-S,346,176,6,5,161.976,2.0247,0.113329908,112.58,108,79,99,75,90,A13-S-1124,A13-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,17.86554,12.5,Shallow,Shallow Symbiotic,90.2,902000,11275000,,631103.23,,0.179574279,
A14-A,205,101,6,5,99.0912,0.990912,0.070619123,89.06,38,25,44,19,2,A14-A-1124,AX7-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,14.03178,10,Shallow,Shallow Aposymbiotic,25.6,256000,2560000,5537000,182442.9973,324938.1925,0.387075,1.664591764
A14-S,455,216,6,0.5,2277.192,25.049112,1.375239756,114.72,76,95,61,69,86,A14-S-1124,AX7-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,18.21436,11,Shallow,Shallow Symbiotic,77.4,774000,8514000,,467433.3877,,2.942108527,
A8-S,86,41.3,6,0.1,2129.508,21.29508,1.514641,89.23,57,39,88,124,99,A8-S-1124,A8-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,14.05949,10,Shallow,Shallow Symbiotic,81.4,814000,8140000,5704000,578968.3694,466613.2841,2.616103194,1.513014388
A8-A,37.1,22.3,6,0.5,141.0144,1.3396368,0.145219498,59.57,14,63,27,43,25,A8-A-1124,A8-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,9.22491,9.5,Shallow,Shallow Aposymbiotic,34.4,344000,3268000,,354258.1987,,0.409925581,
A15-S,606,282,6,0.5,3087.072,30.87072,2.170805422,90.22,72,96,111,118,106,A15-S-1124,A15-S,Aposymbiotic,Symbiotic,November,2024,Nov_24,14.22086,10,Shallow,Shallow Symbiotic,100.6,1006000,10060000,7210000,707411.5068,442900.2858,3.06866004,5.42420158
A15-A,669,313,6,0.5,3391.968,33.91968,1.3878211,152.92,42,49,37,34,56,A15-A-1124,A15-A,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,24.44096,10,Shallow,Shallow Aposymbiotic,43.6,436000,4360000,,178389.0649,,7.779743119,
