sample_ID,count1,count2,count3,count4,count5,total symcount,avg sample_ID
A18-A,12,8,19,3,9,51,125.5
A18-S,25,64,34,53,24,200,
A10-A,34,26,15,55,38,168,241
A10-S,44,58,75,49,88,314,
A11-A,63,10,45,27,37,182,348.5
A11-S,59,146,156,53,101,515,
A12-A,42,63,60,46,32,243,363
A12-S,116,101,64,115,87,483,
A13-A,21,67,18,59,29,194,322.5
A13-S,108,79,99,75,90,451,
A14-A,38,25,44,19,2,128,257.5
A14-S,76,95,61,69,86,387,
A15-A,42,49,37,34,56,218,360.5
A15-S,72,96,111,118,106,503,
A19-A,12,64,20,13,53,162,350.5
A19-S,66,69,175,86,143,539,
A21-A,74,17,23,37,72,223,352.5
A21-S,78,98,110,105,91,482,
A24-A,41,3,55,23,46,168,257.5
A24-S,98,41,63,117,28,347,
A25-A,23,21,19,7,10,80,127
A25-S,43,36,27,29,39,174,
A5-A,12,47,33,29,16,137,243.5
A5-S,56,101,49,83,61,350,
A8-A,14,63,27,43,25,172,289.5
A8-S,57,39,88,124,99,407,
A9-A,11,18,4,27,40,100,366
A9-S,127,145,112,83,165,632,
S1-A,38,102,43,87,73,343,426
S1-S,88,132,76,119,94,509,
S10-A,134,118,157,102,149,660,798.5
S10-S,172,148,209,187,221,937,
S11-A,165,94,121,143,109,632,793
S11-S,158,203,224,176,193,954,
S12-A,97,160,128,113,152,650,791.5
S12-S,141,167,229,184,212,933,
S15-A,105,138,166,124,91,624,788.5
S15-S,155,198,173,220,207,953,
S16-A,135,95,164,99,150,643,819
S16-S,161,214,189,205,226,995,
S17-A,117,142,108,163,110,640,832.5
S17-S,183,229,246,171,196,1025,
S18-A,128,147,104,166,139,684,521.5
S18-S,48,90,62,74,85,359,
S19-A,72,14,89,33,57,265,407
S19-S,108,127,97,134,83,549,
S21-A,89,54,112,44,72,371,510
S21-S,114,88,187,154,106,649,
S22-A,69,54,84,55,76,338,553
S22-S,111,186,153,197,121,768,
S26-A,73,119,54,62,43,351,509
S26-S,120,145,182,97,123,667,
S27-A,2,11,14,4,17,48,150.5
S27-S,48,62,55,49,39,253,
S6-A,24,63,97,18,55,257,601.5
S6-S,186,178,219,159,204,946,
S7-A,38,11,51,46,23,169,202
S7-S,57,33,49,59,37,235,
S9-A,47,31,68,91,22,259,348.5
S9-S,94,112,78,69,85,438,
D1,3,2,0,2,0,,
D2,2,0,0,1,0,,
D3,0,0,1,2,0,,
D4,0,2,0,1,2,,
D5,0,1,4,2,0,,
D6,1,0,2,1,1,,
D7,5,2,1,2,0,,
D8,4,1,2,3,1,,
D9,0,2,1,3,1,,
D10,0,2,0,1,0,,
D11,0,0,0,4,0,,
D12,1,0,2,3,0,,
D13,2,0,0,1,5,,
D14,0,3,0,0,1,,
D15,2,0,2,3,1,,
