sample_id,colony_id,a_s_colony,a_s_frag,algae_host,depth_sa,d15N_diff,d13C_diff,d15N_sum,d13C_sum
A-18-A-1124-Algae,A18,A,A,Algae,Shallow Aposymbiotic,0.32,0.49,18,-42.07
A10-A-1124-Algae,A10,A,A,Algae,Shallow Aposymbiotic,0.68,1.55,18.18,-42.45
A11-A-new-1124-Algae,A11-new,A,A,Algae,Shallow Aposymbiotic,-0.21,1.03,18.45,-42.37
A11-A-old-1124-Algae,A11-old,A,A,Algae,Shallow Aposymbiotic,0.6,0.36,17.22,-41.98
A12-A-1124-Algae,A12,A,A,Algae,Shallow Aposymbiotic,-1.57,0.39,19.13,-42.47
A13-A-old-1124-Algae,A13-old,A,A,Algae,Shallow Aposymbiotic,-0.28,1.13,18.6,-42.41
A14-A-new-1124-Algae,A14-new,A,A,Algae,Shallow Aposymbiotic,1.1,1.34,16.78,-42.78
A14-A-old-1124-Algae,A14-old,A,A,Algae,Shallow Aposymbiotic,-2.08,1.45,21,-42.05
A15-A-1124-Algae,A15,A,A,Algae,Shallow Aposymbiotic,1.73,1.78,16.25,-42.48
A24-A-1124-Algae,A24,A,A,Algae,Shallow Aposymbiotic,-0.28,0.75,17.24,-41.87
A25-A-1124-Algae,A25,A,A,Algae,Shallow Aposymbiotic,-0.59,0.92,19.07,-41.12
A5-A-1124-Algae,A5,A,A,Algae,Shallow Aposymbiotic,-0.34,1.46,18.3,-42.44
A8-A-1124-Algae,A8,A,A,Algae,Shallow Aposymbiotic,-0.53,0.76,18.95,-42.3
A9-A-1124-Algae,A9,A,A,Algae,Shallow Aposymbiotic,0.76,2.84,17.5,-44.06
D1-1124-Algae,D1,A,A,Algae,Deep Aposymbiotic,0,0.82,19.32,-42.6
D10-1124-Algae,D10,A,A,Algae,Deep Aposymbiotic,-0.25,0.72,18.47,-42.7
D11-1124-Algae,D11,A,A,Algae,Deep Aposymbiotic,0.11,0.64,18.77,-42.6
D12-1124-Algae,D12,A,A,Algae,Deep Aposymbiotic,-0.17,0.75,18.45,-42.43
D13-1124-Algae,D13,A,A,Algae,Deep Aposymbiotic,0.19,1.25,18.85,-43.13
D14-1124-Algae,D14,A,A,Algae,Deep Aposymbiotic,-0.35,0.98,18.37,-42.48
D15-1124-Algae,D15,A,A,Algae,Deep Aposymbiotic,-0.34,0.92,18.92,-43.12
D2-1124-Algae,D2,A,A,Algae,Deep Aposymbiotic,-0.2,1.91,18.86,-41.01
D3-1124-Algae,D3,A,A,Algae,Deep Aposymbiotic,-0.1,0.39,18.96,-42.51
D4-1124-Algae,D4,A,A,Algae,Deep Aposymbiotic,-0.45,0.01,19.05,-42.75
D5-1124-Algae,D5,A,A,Algae,Deep Aposymbiotic,-0.32,0.15,18.54,-42.79
D6-1124-Algae,D6,A,A,Algae,Deep Aposymbiotic,0.65,0.97,19.83,-42.23
D7-1124-Algae,D7,A,A,Algae,Deep Aposymbiotic,-0.13,0.39,18.49,-43.35
D8-1124-Algae,D8,A,A,Algae,Deep Aposymbiotic,-0.05,0.97,18.95,-42.51
D9-1124-Algae,D9,A,A,Algae,Deep Aposymbiotic,-0.42,0.75,18.72,-42.65
S1-A-1124-Algae,S1,S,A,Algae,Shallow Aposymbiotic,-1.74,0.77,15.22,-43.19
S10-A-1124-Algae,S10,S,A,Algae,Shallow Aposymbiotic,-0.31,-0.45,17.43,-42.61
S11-A-old-1124-Algae,S11-old,S,A,Algae,Shallow Aposymbiotic,0.15,0.44,17.97,-42.5
S12-A-1124-Algae,S12,S,A,Algae,Shallow Aposymbiotic,-0.56,0.51,17.74,-41.85
S15-A-1124-Algae,S15,S,A,Algae,Shallow Aposymbiotic,0.28,0.74,18.78,-42.12
S16-A-1124-Algae,S16,S,A,Algae,Shallow Aposymbiotic,0.19,0.81,17.57,-42.05
S17-A-1124-Algae,S17,S,A,Algae,Shallow Aposymbiotic,0.01,0.72,17.87,-42.24
S18-A-1124-Algae,S18,S,A,Algae,Shallow Aposymbiotic,-0.67,0.31,18.01,-42.57
S19-A-1124-Algae,S19,S,A,Algae,Shallow Aposymbiotic,-1.08,1.07,18.74,-42.63
S21-A-1124-Algae,S21,S,A,Algae,Shallow Aposymbiotic,0.05,0.95,19.01,-41.79
S22-A-1124-Algae,S22,S,A,Algae,Shallow Aposymbiotic,0.41,0.6,18.09,-42.16
S26-A-1124-Algae,S26,S,A,Algae,Shallow Aposymbiotic,1.89,0.12,15.79,-41.38
S6-A-1124-Algae,S6,S,A,Algae,Shallow Aposymbiotic,-0.3,0.97,18.08,-42.29
S7-A-1124-Algae,S7,S,A,Algae,Shallow Aposymbiotic,1.14,1.23,17.5,-41.89
