Sample_ID,colony_id,a_s_colony,algae_host,timepoint,weight_mg,total_N_ug,pct_N,d15N,total_C_ug,pct_C,d13C
A-01-0723CHL,A01,Aposymbiotic,Host,7/1/23,4.08,153.94,N/A,7.75,645.65,N/A,-20.3
A-14-1123CHL,A14-old,Aposymbiotic,Host,11/1/23,4.42,198.17,N/A,8.3,776.98,N/A,-20.93
A-03-0723CHL,A03,Aposymbiotic,Host,7/1/23,4.46,230.07,N/A,8.74,894.13,N/A,-20.39
A-15-1123CHL,A15,Aposymbiotic,Host,11/1/23,3.99,225.5,N/A,8.06,878.47,N/A,-20.86
A-15-1123AGL,A15,Aposymbiotic,Algae,11/1/23,4.79,413.52,N/A,8.68,1949.26,N/A,-21.06
A-13-1123AGL,A13-old,Aposymbiotic,Algae,11/1/23,2.48,168.02,N/A,6.75,825.57,N/A,-21.32
A-14-1123AGL,A14-old,Aposymbiotic,Algae,11/1/23,4.54,399.82,N/A,7.06,1808.39,N/A,-21.11
A-12-0923AGL,A12,Aposymbiotic,Algae,9/1/23,4.51,114.21,N/A,8.05,650.09,N/A,-21.71
S-05-1123AGL,S05,Symbiotic,Algae,11/1/23,1.69,87.26,N/A,2.85,462.51,N/A,-21.14
A-26-0923AGL,A26,Aposymbiotic,Algae,9/1/23,4.19,33.77,N/A,7.12,244.03,N/A,-23.11
S-15-1123AGL,S15,Symbiotic,Algae,11/1/23,0.62,14.68,N/A,6.41,96,N/A,-23.28
A-13-1123CHL,A13-old,Aposymbiotic,Host,11/1/23,3.66,188.46,N/A,8.32,771.05,N/A,-21.24
A-01-1123AGL,A01,Aposymbiotic,Algae,11/1/23,3.77,285.92,N/A,8.38,1352.88,N/A,-21.4
A-26-0923CHL,A26,Aposymbiotic,Host,9/1/23,4.03,141.82,N/A,8.17,610.8,N/A,-20.18
A-12-0923CHL,A12,Aposymbiotic,Host,9/1/23,4.5,255.53,N/A,8.41,1050.29,N/A,-20.46
A-01-1123CHL,A01,Aposymbiotic,Host,11/1/23,4.61,264.11,N/A,8.67,1057.46,N/A,-21.01
A-15-0723CHL,A15,Aposymbiotic,Host,7/1/23,4.11,196.63,N/A,9.19,818.02,N/A,-20.82
S-23-1123CHL,S23,Symbiotic,Host,11/1/23,1.29,86.13,N/A,3.56,513.44,N/A,-20.73
A-15-0723AGL,A15,Aposymbiotic,Algae,7/1/23,3.71,52.27,N/A,9.6,344.29,N/A,-22.73
A-03-1123AGL,A03,Aposymbiotic,Algae,11/1/23,4.63,326.96,N/A,9.07,1546.27,N/A,-21.26
S-23-0923CHL,S23,Symbiotic,Host,9/1/23,4.38,198.82,N/A,6.94,884.86,N/A,-20.4
S-07-0923CHL,S07,Symbiotic,Host,9/1/23,4.85,183.14,N/A,7.1,761.53,N/A,-20.39
A-25-0923CHL,A25,Aposymbiotic,Host,9/1/23,4.72,226.11,N/A,7.82,999.15,N/A,-20.36
S-01-0923AGL,S01,Symbiotic,Algae,9/1/23,3.89,280.81,N/A,5.99,1516.16,N/A,-20.95
S-24-0923AGL,S24,Symbiotic,Algae,9/1/23,4.45,353.98,N/A,3.45,1843.8,N/A,-20.28
