sample_ID,full_ID,sa_colony,sa_frag,month,year,timepoint,Ro,Ra,vol_acetone_mL,vol_coral_extract_mL,ug_chla_L,ug_chla_total,ug_chla_cm,tin_weight_mg,sa_cm2,resuspension_vol
A5-A,A5-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,90.3,45.7,6,5,42.49488,0.44619624,0.051479529,56.15,8.66745,10.5
A5-S,A5-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,482,227,6,0.5,2429.64,24.2964,1.71066111,90.11,14.20293,10
A13-A,A13-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,40.5,22.3,6,5,17.34096,0.1734096,0.015444141,71.86,11.22818,10
A13-S,A13-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,346,176,6,5,161.976,2.0247,0.113329908,112.58,17.86554,12.5
A14-A,A14-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,205,101,6,5,99.0912,0.990912,0.070619123,89.06,14.03178,10
A14-S,A14-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,455,216,6,0.5,2277.192,25.049112,1.375239756,114.72,18.21436,11
A8-S,A8-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,86,41.3,6,0.1,2129.508,21.29508,1.514641,89.23,14.05949,10
A8-A,A8-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,37.1,22.3,6,0.5,141.0144,1.3396368,0.145219498,59.57,9.22491,9.5
A15-S,A15-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,606,282,6,0.5,3087.072,30.87072,2.170805422,90.22,14.22086,10
A15-A,A15-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,669,313,6,0.5,3391.968,33.91968,1.3878211,152.92,24.44096,10
A24-S,A24-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,953,438,6,0.5,4906.92,49.0692,1.849303607,165.76,26.53388,10
A24-A,A24-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,479,236,6,5,231.5304,2.315304,0.141119507,103.63,16.40669,10
A25-S,A25-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,223,105,6,0.5,1124.304,14.615952,1.854395004,51.33,7.88179,13
A25-A,A25-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,480,234,6,5,234.3888,3.0470544,0.261688328,74.41,11.64383,13
A9-S,A9-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,75.1,36,6,0.5,372.5448,4.8430824,0.49270191,63.28,9.82964,13
A9-A,A9-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,382,179,6,5,193.4184,2.5144392,0.326237866,50.26,7.70738,13
A10-S,A10-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,321,154,6,0.5,1591.176,15.91176,0.97711435,102.88,16.28444,10
A10-A,A10-A-1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,49.4,26.1,6,5,22.20024,0.2220024,0.013776202,101.84,16.11492,10
A19-S,A11-S-new_1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,69.2,34.8,6,0.5,327.7632,3.277632,0.167757469,122.84,19.53792,10
A19-A,A11-A-new_1124,Aposymbiotic,Aposymbiotic,November,2024,Nov_24,48.5,22.6,6,5,24.67752,0.2467752,0.020513078,76.78,12.03014,10
A12-S,A12-S-1124,Aposymbiotic,Symbiotic,November,2024,Nov_24,84.3,42,6,0.5,403.0344,4.030344,NA,NA,NA,10
