sample_ID,full_ID,sa_colony,month,year,timepoint,surface_area,resuspension_vol_mL,ug_chla_L,ug_chla_total,sym_count,foil_mg,sa_cm2,ug_chla_cm,total_sym,sym_cm2,pg_chla_sym
A01,A-01-1123,Aposymbiotic,November,2023,Nov_23,21.672538,10,2105.688,2.1057,8,97.03,21.672538,0.097159271,800000,36913.07405,2.63211
A03,A-03-1123,Aposymbiotic,November,2023,Nov_23,14.069828,10,43.54296,0.0435,0,63.18,14.069828,0.003094776,0,0,0
A05,A-05-1123,Aposymbiotic,November,2023,Nov_23,13.840736,10,33.63384,0.0336,0.2,62.16,13.840736,0.002430062,20000,1445.009861,1.681692
A08,A-08-1123,Aposymbiotic,November,2023,Nov_23,10.880508,10,4087.512,4.0875,53.2,48.98,10.880508,0.375672901,5320000,488947.7587,0.768329323
A13,A-13-1123,Aposymbiotic,November,2023,Nov_23,12.594206,10,4806.876,4.8069,73,56.61,12.594206,0.381673605,7300000,579631.6179,0.658476164
A14,A-14-1123,Aposymbiotic,November,2023,Nov_23,12.80533,10,1600.704,1.6007,4.4,57.55,12.80533,0.125002948,440000,34360.69199,3.637963636
A15,A-15-1123,Aposymbiotic,November,2023,Nov_23,12.293242,10,7146,7.146,57.4,55.27,12.293242,0.581294991,5740000,466923.2087,1.244947735
A17,A-17-1123,Aposymbiotic,November,2023,Nov_23,11.511634,10,42.78072,0.0428,0.2,51.79,11.511634,0.003716303,20000,1737.372818,2.139036
A18,A-18-1123,Aposymbiotic,November,2023,Nov_23,18.912204,10,1248.168,1.2482,22.8,84.74,18.912204,0.065998019,2280000,120557.0752,0.547442105
A24,A-24-1123,Aposymbiotic,November,2023,Nov_23,17.086206,10,231.5304,0.2315,4,76.61,17.086206,0.01355072,400000,23410.69749,0.578826
A25,A-25-1123,Aposymbiotic,November,2023,Nov_23,19.972316,10,282.0288,0.282,13.8,89.46,19.972316,0.014120986,1380000,69095.64219,0.204368696
S01,S-01-1123,Symbiotic,November,2023,Nov_23,14.889618,10,412.5624,4.1256,0.8,66.83,14.889618,0.277080581,80000,5372.871218,51.5703
S02,S-02-1123,Symbiotic,November,2023,Nov_23,11.35666,10,384.9312,3.8493,1.8,51.1,11.35666,0.338947543,180000,15849.73047,21.38506667
S03,S-03-1123,Symbiotic,November,2023,Nov_23,8.389694,10,11767.08,117.6708,161.6,37.89,8.389694,14.02563669,16160000,1926172.754,7.281608911
S04,S-04-1123,Symbiotic,November,2023,Nov_23,8.510978,10,962.328,9.6233,11.4,38.43,8.510978,1.130690268,1140000,133944.6536,8.441473684
