"","metabolite.X","metabolite.Feature","metabolite.X.IncMSE","metabolite.X.IncMSE.pval","metabolite.IncNodePurity","metabolite.IncNodePurity.pval","log2FC"
"x28518_666_58244_12_847",35,"x28518_666_58244_12_847",2.00898690538486,0.0099009900990099,0.17705795631085,0.0396039603960396,0.424018862602778
"x18775_856_58398_8_787",44,"x18775_856_58398_8_787",1.83922986194371,0.0099009900990099,0.229941970330715,0.0297029702970297,1.60488246546031
"x28352_888_64547_12_858",50,"x28352_888_64547_12_858",1.78835806025322,0.0099009900990099,0.253104597096666,0.0297029702970297,0.443846064973677
"x29126_707_55985_13_049",53,"x29126_707_55985_13_049",1.70254538203446,0.0099009900990099,0.109065824177817,0.0396039603960396,1.23871972917748
"x29837_780_6831_13_207",62,"x29837_780_6831_13_207",1.63474958479596,0.0099009900990099,0.00666526505150665,0.257425742574257,0.53138267052909
"x36126_823_67842_14_736",66,"x36126_823_67842_14_736",1.60627018528289,0.0297029702970297,0.0369553524836141,0.207920792079208,0.604513612698384
"x24072_881_59944_11_628",75,"x24072_881_59944_11_628",1.56458066291629,0.0495049504950495,0.0127818084048991,0.277227722772277,0.140482791172034
"x39541_932_80618_16_033",76,"x39541_932_80618_16_033",1.56305593116832,0.0297029702970297,0.184411707070345,0.0198019801980198,0.94303353352552
"x40455_966_8619_16_411",98,"x40455_966_8619_16_411",1.45088843321106,0.0099009900990099,7.94345305288857e-06,0.504950495049505,0.0543140089735179
"x19252_836_61798_9_04",106,"x19252_836_61798_9_04",1.41796582342243,0.0099009900990099,0.000597612727865161,0.336633663366337,0.137481866622876
"x38982_856_77378_15_799",111,"x38982_856_77378_15_799",1.41699228404925,0.0099009900990099,0.00479546142920785,0.118811881188119,1.03842535198029
"x22877_766_57256_10_934",112,"x22877_766_57256_10_934",1.41688254773866,0.0198019801980198,0.0092880979554243,0.158415841584158,0.716319526705141
"x17077_854_62764_8_15",113,"x17077_854_62764_8_15",1.4168153086067,0.0099009900990099,0.000133349089944731,0.237623762376238,0.992968822426062
"x32053_608_67073_13_714",119,"x32053_608_67073_13_714",1.41617520974447,0.0198019801980198,0.000128576487096908,0.673267326732673,0.282296058447131
"x39737_662_71722_16_103",122,"x39737_662_71722_16_103",1.41570629766014,0.0099009900990099,0.00128598348937028,0.356435643564356,0.433892734520137
"x17686_934_64523_8_348",123,"x17686_934_64523_8_348",1.41530926667242,0.0099009900990099,0.00059307472232935,0.217821782178218,0.401432868642558
"x6125_600_36137_3_957",125,"x6125_600_36137_3_957",1.41472243404314,0.0198019801980198,0.14276927592806,0.0099009900990099,0.498184398146157
"x28562_752_55793_12_884",129,"x28562_752_55793_12_884",1.41358684437204,0.0198019801980198,0.0868060305329121,0.0693069306930693,0.359837859344964
"x2033_583_41361_2_069",139,"x2033_583_41361_2_069",1.40824122599436,0.0099009900990099,0.00720929923356528,0.158415841584158,0.47666458642718
"x26765_788_55693_12_474",146,"x26765_788_55693_12_474",1.40608998765738,0.0198019801980198,0.00477746907029466,0.504950495049505,0.0489448985938014
"x21925_694_5985_10_379",149,"x21925_694_5985_10_379",1.40434708222752,0.0198019801980198,0.00919112207033406,0.148514851485149,1.04215976197605
"x40054_935_78546_16_245",150,"x40054_935_78546_16_245",1.40199748896908,0.0297029702970297,3.08064560635657e-05,0.673267326732673,0.449350174049276
"x37893_880_77556_15_37",152,"x37893_880_77556_15_37",1.40086221321603,0.0099009900990099,0.00567774590394409,0.128712871287129,0.987139419216759
"x23486_844_58235_11_392",153,"x23486_844_58235_11_392",1.39949899625036,0.0297029702970297,0.000920985817183112,0.475247524752475,0.623209489286434
"x11939_819_50113_6_02",154,"x11939_819_50113_6_02",1.39913983256622,0.0099009900990099,0.000134141752556001,0.346534653465347,4.25124861825401
"x8785_410_47249_4_807",157,"x8785_410_47249_4_807",1.39783207500969,0.0099009900990099,0.0987399920795936,0.0396039603960396,2.30111388051038
"x13162_830_58882_6_511",163,"x13162_830_58882_6_511",1.39430975088057,0.0198019801980198,0.00348656510488505,0.277227722772277,0.892834082125943
"x21212_814_56879_10_049",170,"x21212_814_56879_10_049",1.38717403468839,0.0198019801980198,0.00251456856090258,0.396039603960396,0.750609363125212
"x30701_920_70827_13_379",174,"x30701_920_70827_13_379",1.38486161092697,0.0198019801980198,0.0236328012521468,0.158415841584158,2.13481109359354
"x39975_976_83346_16_206",176,"x39975_976_83346_16_206",1.38249647525093,0.0198019801980198,0.00109356732901515,0.356435643564356,0.699058402331124
"x8354_436_34194_4_687",182,"x8354_436_34194_4_687",1.37177301024049,0.0099009900990099,0.000937581423689863,0.297029702970297,3.9233505938095
"x27001_744_63173_12_518",184,"x27001_744_63173_12_518",1.37009085887205,0.0099009900990099,0.000569952566647865,0.247524752475248,0.331624729739027
"x32339_836_74635_13_74",186,"x32339_836_74635_13_74",1.36887212154961,0.0099009900990099,0.0376086378278983,0.099009900990099,0.677514974345095
"x30918_958_80728_13_483",187,"x30918_958_80728_13_483",1.36825695754924,0.0396039603960396,0.000259751367007912,0.356435643564356,0.0788687129727193
"x25731_892_52435_12_116",196,"x25731_892_52435_12_116",1.3555460092649,0.0396039603960396,0.00328923455966726,0.405940594059406,0.250079007270304
"x17192_762_52934_8_191",197,"x17192_762_52934_8_191",1.35525649510772,0.0495049504950495,0.00062234520610261,0.544554455445545,0.0199642134148288
"x29207_826_66993_13_04",202,"x29207_826_66993_13_04",1.34765027678463,0.0099009900990099,4.50167549144664e-05,0.148514851485149,0.0933718291372273
"x31688_668_59501_13_615",207,"x31688_668_59501_13_615",1.34268223565121,0.0495049504950495,2.63848816056999e-05,0.613861386138614,0.0499959550508213
"x28298_846_63435_12_802",209,"x28298_846_63435_12_802",1.33776843647885,0.0198019801980198,0.0176459707227331,0.277227722772277,0.337421173408355
"x28909_663_63778_12_988",212,"x28909_663_63778_12_988",1.33601177715461,0.0297029702970297,0.0192704448073009,0.0792079207920792,1.93939523429146
"x16190_798_56333_7_758",217,"x16190_798_56333_7_758",1.32845372332705,0.0198019801980198,8.45488960706042e-06,0.326732673267327,5.46490641668146
"x16820_776_51984_8_062",225,"x16820_776_51984_8_062",1.31174414525171,0.0297029702970297,0.0060804612944426,0.287128712871287,1.47178220981704
"x4735_596_38549_3_567",227,"x4735_596_38549_3_567",1.30639350322721,0.0099009900990099,0.0268751777335135,0.0594059405940594,2.68288787616098
"x37099_894_75125_15_027",230,"x37099_894_75125_15_027",1.3039231538198,0.0198019801980198,0.000266928154521559,0.346534653465347,1.60747851865701
"x23871_738_65846_11_559",231,"x23871_738_65846_11_559",1.30027179243329,0.0198019801980198,0.0136002721677538,0.128712871287129,0.187223969697433
"x33043_886_75314_13_957",237,"x33043_886_75314_13_957",1.28594571589487,0.0297029702970297,5.46807642241021e-08,0.396039603960396,0.0820234941792536
"x11179_788_57945_5_745",238,"x11179_788_57945_5_745",1.28221938005047,0.0396039603960396,0.0221414630309855,0.0792079207920792,0.0376308713777012
"x16901_742_54469_8_106",239,"x16901_742_54469_8_106",1.28216849145218,0.0396039603960396,0.0306609548988717,0.118811881188119,0.455368691188475
"x18796_812_61828_8_782",244,"x18796_812_61828_8_782",1.27451877131131,0.0495049504950495,0.000118583016835848,0.623762376237624,0.226366946272115
"x20485_667_51536_9_675",246,"x20485_667_51536_9_675",1.27260207032355,0.0495049504950495,0.00327361375247255,0.356435643564356,0.477486089017983
"x34656_959_79203_14_338",248,"x34656_959_79203_14_338",1.26990067948513,0.0198019801980198,0.00253952054178465,0.267326732673267,1.99240610009801
"x3224_458_36199_2_971",258,"x3224_458_36199_2_971",1.25427874450427,0.0297029702970297,0.00775918791355053,0.168316831683168,0.308770062963701
"x24113_672_53518_11_616",263,"x24113_672_53518_11_616",1.2463506240186,0.0099009900990099,0.000245416841921962,0.346534653465347,0.277007561639871
"x28429_693_54202_12_85",264,"x28429_693_54202_12_85",1.24634630656489,0.0396039603960396,0.000879450203819484,0.544554455445545,0.0175273034108891
